file_id,file_path,label,source,technique,split
edgetts_0000,vispoofdb_processed/fake/edgetts/edgetts_0000.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0001,vispoofdb_processed/fake/edgetts/edgetts_0001.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0002,vispoofdb_processed/fake/edgetts/edgetts_0002.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0003,vispoofdb_processed/fake/edgetts/edgetts_0003.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0004,vispoofdb_processed/fake/edgetts/edgetts_0004.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0005,vispoofdb_processed/fake/edgetts/edgetts_0005.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0006,vispoofdb_processed/fake/edgetts/edgetts_0006.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0007,vispoofdb_processed/fake/edgetts/edgetts_0007.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0008,vispoofdb_processed/fake/edgetts/edgetts_0008.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0009,vispoofdb_processed/fake/edgetts/edgetts_0009.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0010,vispoofdb_processed/fake/edgetts/edgetts_0010.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0011,vispoofdb_processed/fake/edgetts/edgetts_0011.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0012,vispoofdb_processed/fake/edgetts/edgetts_0012.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0013,vispoofdb_processed/fake/edgetts/edgetts_0013.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0014,vispoofdb_processed/fake/edgetts/edgetts_0014.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0015,vispoofdb_processed/fake/edgetts/edgetts_0015.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0016,vispoofdb_processed/fake/edgetts/edgetts_0016.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0017,vispoofdb_processed/fake/edgetts/edgetts_0017.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0018,vispoofdb_processed/fake/edgetts/edgetts_0018.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0019,vispoofdb_processed/fake/edgetts/edgetts_0019.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0020,vispoofdb_processed/fake/edgetts/edgetts_0020.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0021,vispoofdb_processed/fake/edgetts/edgetts_0021.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0022,vispoofdb_processed/fake/edgetts/edgetts_0022.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0023,vispoofdb_processed/fake/edgetts/edgetts_0023.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0024,vispoofdb_processed/fake/edgetts/edgetts_0024.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0025,vispoofdb_processed/fake/edgetts/edgetts_0025.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0026,vispoofdb_processed/fake/edgetts/edgetts_0026.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0027,vispoofdb_processed/fake/edgetts/edgetts_0027.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0028,vispoofdb_processed/fake/edgetts/edgetts_0028.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0029,vispoofdb_processed/fake/edgetts/edgetts_0029.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0030,vispoofdb_processed/fake/edgetts/edgetts_0030.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0031,vispoofdb_processed/fake/edgetts/edgetts_0031.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0032,vispoofdb_processed/fake/edgetts/edgetts_0032.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0033,vispoofdb_processed/fake/edgetts/edgetts_0033.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0034,vispoofdb_processed/fake/edgetts/edgetts_0034.wav,fake,edgetts,neural_tts_commercial,test_seen
edgetts_0035,vispoofdb_processed/fake/edgetts/edgetts_0035.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0036,vispoofdb_processed/fake/edgetts/edgetts_0036.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0037,vispoofdb_processed/fake/edgetts/edgetts_0037.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0038,vispoofdb_processed/fake/edgetts/edgetts_0038.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0039,vispoofdb_processed/fake/edgetts/edgetts_0039.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0040,vispoofdb_processed/fake/edgetts/edgetts_0040.wav,fake,edgetts,neural_tts_commercial,train
edgetts_0041,vispoofdb_processed/fake/edgetts/edgetts_0041.wav,fake,edgetts,neural_tts_commercial,train
